sample	composite	score
TNT RNA 5	T_cell	-0.22177864521881566
TNT RNA 6	T_cell	1.928629078635078
TNT RNA 11	T_cell	0.5500474296397313
TNT RNA 12	T_cell	-0.22514608730693442
TNT RNA 41	T_cell	0.16310436762516362
TNT RNA 42	T_cell	-0.8045505251118952
TNT RNA 29	T_cell	-0.9406669889052728
TNT RNA 30	T_cell	0.06899617123234685
TNT RNA 32	T_cell	-0.210098839170806
TNT RNA 33	T_cell	0.25266273167123005
TNT RNA 38	T_cell	-0.6167414873523456
TNT RNA 39	T_cell	0.055542794262514586
