gene	IAE_mean	IBI_mean	IAE_minus_IBI
PLA2G6	2.2384546912709906	-1.1398525782491584	3.378307269520149
JAK3	2.01895961102313	-1.0724929435206694	3.0914525545437996
KIR_Inhibiting_Subgroup_2	-1.309882566327134	1.701672853644123	-3.0115554199712573
IKBKB	2.1280087807156534	-0.7494008073175639	2.8774095880332173
TAPBP	2.579038814848812	-0.2037513354636872	2.782790150312499
ARG2	-1.4609284322569396	1.2533271509656725	-2.714255583222612
ZAP70	1.601251446093331	-1.1105269901914416	2.7117784362847726
CCL24	1.2422147086930426	-1.413973122692657	2.6561878313857
IFIH1	2.6419887129130855	0.11042716668425945	2.531561546228826
XCL2	-0.17876485942608422	2.3226698118210494	-2.5014346712471336
STAT6	2.0269034688702368	-0.41268845533584714	2.4395919242060837
PYCARD	1.1883232421806298	-1.24695140307329	2.43527464525392
LILRB3	2.882939533872258	0.47207902892927445	2.4108605049429834
RAG1	-0.23885791641208043	2.0939194745861274	-2.3327773909982077
MS4A1	-1.4193113082546795	0.9056176087334746	-2.324928916988154
S100B	1.3412261494628241	-0.9807319034908462	2.3219580529536703
SELPLG	2.851277535682776	0.5387873324470412	2.312490203235735
BATF	2.4919836693354167	0.25565275203624477	2.236330917299172
LAG3	1.7039848861857316	-0.4966904288017064	2.200675314987438
TLR8	2.8769319437043936	0.6812866958696714	2.1956452478347224
CXCR4	2.213303026252337	0.0181434480259924	2.1951595782263444
IL4R	2.4077578879576778	0.2582113628601746	2.149546525097503
CCL18	1.4632112253356082	-0.6582918781894955	2.1215031035251037
CSF3R	2.6484197492830397	0.5371097843191031	2.1113099649639366
TNF	2.6416367169623816	0.5340467897760885	2.107589927186293
RUNX3	1.959487594181478	-0.1394041027396186	2.0988916969210965
SBNO2	1.905500092743312	-0.1732754175991076	2.0787755103424197
ENG	2.1122862186481095	0.03379133901614587	2.0784948796319638
NOTCH1	0.9157963424042733	-1.1561571556634247	2.071953498067698
ITGAX	2.644488000668461	0.5823664374350274	2.0621215632334335
THBD	2.449831115602101	0.39266529977277354	2.057165815829327
CD5	1.5340661664053206	-0.5174332405722074	2.051499406977528
RUNX1	1.9425632921585292	-0.10809077686907591	2.050654069027605
SELL	2.696133920486653	0.6625965152693245	2.033537405217328
STAT2	2.552874588349428	0.528905117535949	2.023969470813479
CEACAM1	-0.7215982703488034	1.295750256512885	-2.017348526861688
IFITM2	2.346089047816094	0.3425216172529672	2.003567430563127
CD1B	1.6489043150848834	-0.3394270017682877	1.988331316853171
IL1R2	2.5961523452459363	0.6111834269861282	1.984968918259808
FLT3LG	2.271981204576945	0.2911485911120352	1.9808326134649097
IL7R	1.8983781732420781	-0.07819763992869345	1.9765758131707716
ICAM3	2.412036799808623	0.4575072488431556	1.9545295509654674
