gene	subj_2	subj_4	subj_14	subj_10	subj_11	subj_13
A2M	2.0580687973863845	0.5254211019175721	0.062079753449248765	0.7092021032206354	2.8045658577942394	-2.2957590246034356
ABCB1	-1.6168784041289521	0.6565269172983209	1.1498504912364957	0.987867233434811	2.060167071509228	-1.990721671504317
ABL1	2.8682786192319556	-0.41878634204897314	0.14061067313873044	-0.18833978790775197	-0.5974513281416949	0.14993121785717267
ADA	-0.12287324418822798	0.7450690943705134	-0.5359638633264964	-0.38213879801353445	-0.22088550468288204	3.829516126081405
ADORA2A	2.060667661183336	1.8754292470834129	0.22374054906176313	-0.6251149693705698	0.9001988448075289	2.1197877248594237
AICDA	1.1975785278950295	0.6691875364468772	0.7670676109713073	3.128752978690793	1.673596890668761	2.0366265777382186
AIRE	0.08079958719784464	1.1128478257466508	-0.2351455857821605	-0.07879161650025135	-0.8103574748638226	2.133136320486961
AKT3	3.521839147137545	0.7929266917585585	0.7170744406696136	-0.257458237816486	1.2524485589968588	1.058574242226926
ALCAM	1.1360281703005481	-0.09172264591076548	1.946587929829539	-1.0140004795133586	0.05519717894950364	0.6301119833641589
AMBP	0.6531210003854511	0.9278232280960415	-0.10965962968822301	-1.6678343571312721	0.011460236337305418	3.508643012045835
AMICA1	3.1597866702104933	2.064692426105697	0.7506007669830048	1.1753026027585762	1.7740006307989167	-0.2125740908360092
ANP32B	-0.8111801022316354	-0.948498417502323	0.009197637082803523	-0.6495041563154278	-0.5633757051646324	-0.4842451438793962
ANXA1	1.674947413928964	1.2109291826645847	0.7566076630914429	0.33185199236442636	2.4361317717800017	0.8178919674650651
APOE	1.817154401532713	0.9446508355480525	0.7846175804810307	1.1824445873979748	2.362424693961705	-0.9897678531103793
APP	0.9558984792013042	0.23390915721949407	-1.5308312546165865	3.3794500123162776	1.4178866026933843	-2.0167212296201855
ARG1	1.5143418502907393	1.2791128473742999	0.6897050828072598	0.8654388947096145	0.04727797880259965	3.3982061652865236
ARG2	-2.239510849237075	-0.682346015276804	1.0830877829196743	0.10677026920420196	0.39776941376310426	3.255441769929711
ATF1	-1.1121172365409415	-0.7100408485280779	-0.276844583409277	0.779486617347692	0.16528924372784493	-2.2124500070712614
ATF2	0.8605088532339009	-0.710307381816068	-0.36644637869668983	0.09146966906948928	0.5971280204911988	-2.1499209623891145
ATG10	3.64938596894794	-1.3761199701610578	1.2210007459869026	-0.4532744529562772	-0.26276874682905527	0.27246247032799964
ATG12	1.0196105807897626	0.3542987736231975	0.24082342745819837	-0.31112324349625586	-0.6214303853660363	3.5051742097642427
ATG16L1	-0.2641978534167114	0.6492692131339728	0.03459818348426963	0.7655969559435104	0.1116422509259482	-0.7846714650499038
ATG5	-0.9304128067026779	-0.6466381681849023	-0.13371860959316595	1.2655490734202832	0.7258336666773585	-2.225888226499629
ATG7	4.015254427707155	1.0496538407196787	0.06334572172167334	0.22353457406428712	0.9020304016970735	0.6086758731479583
ATM	1.7394197371374474	-0.21055857401698852	-0.18906796250776722	1.234784905975028	-0.7429544116958717	3.602877366537161
AXL	3.574961878792405	0.7717486019282405	-0.06971730335675685	0.06129765962624884	1.356268861959561	0.19100815782843766
BAGE	0.6149398177736384	0.43616728839394997	1.0071034457893222	0.25432026517465156	-0.21426299391529724	3.6854353611346333
BATF	2.4746396484417956	2.509327690229038	0.047851697540827964	-0.33305950226047787	-0.7898664273733385	1.8898841857425506
BAX	0.16918925426968084	0.5183721987426878	0.6352089583672311	2.3731675979025537	0.3973361108216278	-0.5768896923918763
BCL10	-0.048717138412862196	0.19545661945898662	-0.5728604350223292	3.49491012130601	1.5051378431466675	-2.084905207107556
BCL2	2.4367174647234693	-0.5788974091767991	-0.8098488053848103	1.4358925732788124	-0.8197728638607034	-1.7912004206505443
BCL2L1	0.14145098706250936	1.3626230761223446	0.8165772201400239	-0.009798826779764645	0.5748068465052634	-0.7301041244995461
BCL6	2.0415115407579005	1.9781120680825033	0.8832753677505469	0.1903546416096975	-0.4582124886875082	3.2003146203275166
BID	-1.4779006359391982	0.665073188601824	-0.42767077438939316	-0.595666413313235	0.11396757369348309	3.8799093767754234
BIRC5	-1.7044859578145581	-0.62797755517572	-0.12547372971269644	-2.1650501970694336	-0.5077388710730998	0.3954251248532128
BLK	2.611692086153239	0.6912989120253452	-1.601966965731234	0.9917605934140669	-0.020115797049575113	1.3801489645511564
BLNK	1.2032672204904014	-0.7115361434505048	-0.14782478193903545	0.9622635194170988	0.29708599334223845	-2.994146209220503
BMI1	0.7545967371752862	0.06977685053153537	0.595793166702177	-0.153277049391781	-0.19503821880337147	-1.284392959576543
BST1	2.216669566191686	2.0160982869899873	1.0836746452772057	0.6612761439069834	0.031984462509963174	2.068805754291188
BST2	2.7664903932095064	1.8918345570178354	0.2408469741071826	-0.3275073730560485	1.2808494655691278	0.618219552443836
BTK	2.9152960260092318	1.3610961725650466	-0.2076765845091607	1.7492737051121163	1.8912107944310925	0.5807526212414262
BTLA	1.2510265328056016	-0.06760046610668446	0.5224600148360777	1.615887617309956	1.1396156630117034	2.3395273196944766
C1QA	2.3705321722743626	1.4317701420170306	0.006102468263282312	2.0492586360435614	1.4930373968146258	-1.5731218531401505
C1QB	1.3406034711131676	0.8011603517312058	0.3511696902542752	1.7890358250080958	2.5948915501375955	-2.036974457626646
C1QBP	-0.8522441594816647	-0.3834547864622838	-0.27493381328014477	-1.6849941444919327	-0.3761376938622156	-0.7921514126855138
C1R	2.6199569568344607	0.5211644805379784	0.7723127397061527	-1.04482924613115	1.6358306380411136	1.7460876278401676
C1S	2.4303269906801495	0.6893513663826303	0.6931544799461887	-0.5446397175689602	2.301981172193157	0.20816306243655414
C2	0.68321046972538	0.5872906063497596	-0.1644395074928109	-2.516733751089035	-1.1800255186791972	0.7995215491202246
C3	3.3102683819855123	-0.031485987011071345	0.8429298685105274	0.1291438090271791	-0.01902718515712465	0.864631637107558
C3AR1	2.8391753357969707	1.4930695171583965	0.6894174882519338	2.052339090223772	1.8924023756698136	0.594509974580899
C4B	2.8966648953068654	1.4976013052626669	0.03880600106992216	1.1896118643447895	1.865719004359409	0.15380909636415302
C4BPA	-0.8087009965369683	1.2562035517110108	0.1613548265198003	1.3263240186026541	0.6795036513267614	1.5249691746878562
C5	0.7203187365312007	-0.19107691537253685	0.32338936234998705	0.7856419031420849	0.05658619984162827	3.3543640921763864
C6	-0.7482189290177402	1.6193958511474045	0.43077538583438285	1.8226548415810266	0.4074467926604764	2.8257344103169357
C7	3.0092916809170225	-0.6277003621166544	0.08479707376647772	1.9673320709498585	0.11336098937236021	-0.9207135042469439
C8A	1.141815371867252	0.35400332555276315	-0.637704562871227	1.5186943520124196	1.47875340455951	3.4874776163866024
C8B	0.5095330034473955	1.2333767455519618	-0.2472739090100289	0.9531728833742701	-0.3689248410065096	4.3154140320789125
C8G	0.4521263187151261	1.7469525098522332	-0.3188304155399399	3.2709281328744892	0.9574004899747118	1.616647667899762
C9	0.8055349822154598	1.5182220774281738	0.6054052982158069	1.6392999959752848	0.25610488591805736	3.1098462734085808
CAMP	1.6442613820851881	1.6434616708672847	0.7851683814482943	1.2547312868985139	-0.7477608074375176	3.4014886470549657
CARD11	-0.18240483993074608	-0.014720400328666727	-1.5464349838072597	-1.9468032661655341	0.2832122671491979	1.0974984107596515
CARD9	2.1788039408134474	1.4293361897374306	0.44577459986852963	0.590546923669375	-0.393334361452528	3.0426699552978276
CASP1	0.9101822812764144	0.36861065800026016	-1.192069891807192	1.9748523943050973	1.3544792789188025	-1.3621163684839142
CASP10	2.1034922304899344	-0.1857849849219803	-0.32269412156615807	1.045780680505449	0.6786194833763671	2.4270133239731675
CASP3	-0.007145945206313065	-0.6031445422860638	-0.18321713257810096	1.7697385877783276	1.5898754969948867	-2.410712495629053
CASP8	1.8261010151966266	1.0495546828072873	0.6835330125986828	0.11167484141791084	0.42627282484545975	0.053956393949756265
CCL1	1.3434550612705636	2.1015986502643966	0.3988155535548673	1.1085828941124078	-0.3421421637244008	3.3846726350013983
CCL11	2.1599987456699994	-0.11677166612760864	0.05054387861159798	0.13518270400126353	2.9954770815108187	-0.38029380847410144
CCL13	0.2787101749021951	-0.009901947735330652	-0.6174445794132942	2.9325052359724264	3.2301275943264987	-0.5869289967360721
CCL14	1.9250846925476035	0.48188818233551123	-1.5420077635582512	1.609149929601746	2.9567011444716202	-1.0526381565437415
CCL15	0.004102630814362795	-0.10468355582590938	-1.8608710225090357	1.7126983377951839	2.6828889406444616	1.1635054992600955
CCL16	0.23359667646939253	-0.4331513567896997	-0.816920176819034	0.08250874038857015	-0.1224459321011932	3.127686840053223
CCL17	0.057799901835404566	2.3815711060548366	0.16018176906075077	1.0000821295560625	-0.9872642017639459	3.194590707823763
