	Teff_over_Treg	CD8cyt_over_CD8exh	M1_over_M2	NK_activ_over_inhib
2	-0.09451976385307104	0.12637718203235448	0.0684818841949082	0.3835796545820379
4	-0.5334881962179191	-0.8887737519139727	0.5035186570470813	0.523725463712357
10	0.20480783754246407	0.06155781299948293	-0.31409966371615117	-0.6907592045349416
11	0.2665500402800314	0.007551821844264117	-0.484323538782879	-0.4912939510083454
13	-0.2616384794283919	0.14711735931958891	-0.27697325450288135	-0.27389130117518223
14	-0.5484432612562626	-0.2929518807410532	0.34671239083298655	0.09713396123170553
