gene	good_median	bad_median	good_mean	bad_mean	MW_P_1s	MW_P_2s	direction	BH_q_1s
TRAF3	1.2985400926124324	0.8884048993076837	1.6594949818755698	0.8450545425062975	0.05	0.1	good>bad	0.8998459167950693
TLR8	2.2810961609955474	0.5661123394584485	2.3285092789004214	0.6812866958696716	0.05	0.1	good>bad	0.8998459167950693
SYK	0.6039589334017835	-1.200620521153528	0.461904288008632	-0.9078870473350092	0.05	0.1	good>bad	0.8998459167950693
IKBKB	1.6621651263411947	-0.14315538293979102	1.6533922111113746	-0.7494008073175639	0.05	0.1	good>bad	0.8998459167950693
JAK3	1.2745144167592608	-1.1968223196870613	1.2261862767662264	-1.0724929435206694	0.05	0.1	good>bad	0.8998459167950693
IRF3	1.1647302405534943	-0.2715835997115825	1.0135175465139803	-0.4191544380477293	0.05	0.1	good>bad	0.8998459167950693
IL9	1.1370488080506886	0.1689934884034891	1.6718306102103444	-0.48553291396935555	0.05	0.1	good>bad	0.8998459167950693
IL7R	1.835704907185827	-0.43790590213705655	1.8197176487847484	-0.07819763992869344	0.05	0.1	good>bad	0.8998459167950693
LAMP2	1.4541794982943765	0.5668070199449552	1.5010450697525834	0.2576722526989399	0.05	0.1	good>bad	0.8998459167950693
CD46	-0.5658635091249575	-1.3837433191087491	-0.3555733858327637	-1.3023980108600788	0.05	0.1	good>bad	0.8998459167950693
CCR5	1.2412732425448123	0.6972633346064997	1.4949072633373939	0.6647311725924534	0.05	0.1	good>bad	0.8998459167950693
MAP3K1	0.4012049938503354	-0.999310840130182	0.3624207067484309	-1.02415330904413	0.05	0.1	good>bad	0.8998459167950693
RPS6	-0.5422268953966433	-1.3217175261269252	-0.7251809500826801	-1.2950882250704443	0.05	0.1	good>bad	0.8998459167950693
IL13RA2	1.5996857869833492	0.4686627133243991	1.369765792070212	-0.10998212356800019	0.05	0.1	good>bad	0.8998459167950693
MAPK14	0.35455446439515237	-0.46193273342422336	0.6289447205606007	-0.5273402770856008	0.05	0.1	good>bad	0.8998459167950693
RUNX3	1.804362958250319	0.34729664084805756	1.7775409816665633	-0.1394041027396186	0.05	0.1	good>bad	0.8998459167950693
CD97	1.4630191955477168	-0.4765750898096525	1.1347216745392579	-0.356141590959649	0.05	0.1	good>bad	0.8998459167950693
CCL18	0.7171481051968094	-0.9331476464367106	1.1996868456350989	-0.6582918781894954	0.05	0.1	good>bad	0.8998459167950693
CASP8	1.0495546828072873	0.11167484141791084	1.1863962368675323	0.19730135340437563	0.05	0.1	good>bad	0.8998459167950693
BMI1	0.595793166702177	-0.19503821880337147	0.4733889181363328	-0.5442360759238986	0.05	0.1	good>bad	0.8998459167950693
CXCR4	1.9700896764930393	-0.07498195609749758	1.8777322676423605	0.0181434480259924	0.05	0.1	good>bad	0.8998459167950693
TNFSF13B	2.098222554754147	1.0928067454399868	2.0961771567106866	0.8527243934297749	0.05	0.1	good>bad	0.8998459167950693
LTBR	0.4794202150918007	-0.3821961783912262	0.574684751621024	-0.33805362042997383	0.1	0.2	good>bad	0.8998459167950693
LAMP1	0.9345336365751263	-0.23971960327583486	0.8178131855744867	-0.3273486071438097	0.1	0.2	good>bad	0.8998459167950693
CCL4	1.7441082517422022	0.9986845159779082	1.8104986479033067	0.8435531320971718	0.1	0.2	good>bad	0.8998459167950693
IL4R	2.186363444425087	0.19300554493909072	1.766415128847261	0.2582113628601746	0.1	0.2	good>bad	0.8998459167950693
LAG3	0.7298516243062354	-0.6789323827289718	0.9406485855095043	-0.4966904288017064	0.1	0.2	good>bad	0.8998459167950693
CCL24	1.0511442551128332	-1.130323152320292	0.7004153612854799	-1.413973122692657	0.1	0.2	good>bad	0.8998459167950693
IL1R1	1.8874878823143186	1.1499854413047137	2.1673412828733074	0.8346843046012316	0.1	0.2	good>bad	0.8998459167950693
ICAM3	1.799641996819596	0.25562144007106935	1.7289796751179756	0.4575072488431557	0.1	0.2	good>bad	0.8998459167950693
TAP2	1.4922136148092924	0.04256643989024966	1.0611832851156235	0.3109783291639335	0.1	0.2	good>bad	0.8998459167950693
LILRB3	2.835808059481263	0.007215485546797407	2.1347027809714874	0.47207902892927445	0.1	0.2	good>bad	0.8998459167950693
CD1B	2.4104962654396793	-0.1815172559541432	1.902768298536482	-0.3394270017682877	0.1	0.2	good>bad	0.8998459167950693
RELB	1.112195683482967	0.57749636503246	1.3152760484598531	0.5418839092223288	0.1	0.2	good>bad	0.8998459167950693
IDO1	1.2705871462323697	-0.003347604548246119	1.2940147401628594	0.1729115337271082	0.1	0.2	good>bad	0.8998459167950693
HLA-DQB1	0.6801766134001651	-0.15670164627823713	0.6657753671058061	-0.16743646973426007	0.1	0.2	good>bad	0.8998459167950693
PLAU	1.4441349758418554	0.10902235444312014	1.4629023005428303	-0.1296560714907918	0.1	0.2	good>bad	0.8998459167950693
CXCR2	2.3520727984371734	0.09589874770185502	1.8087218035529231	0.5870856281910085	0.1	0.2	good>bad	0.8998459167950693
LILRA5	2.663250705522657	0.39355529408951984	2.109432957774275	0.9332655547166361	0.1	0.2	good>bad	0.8998459167950693
SELL	2.2488261569418735	0.012173421689397612	1.9849281999043837	0.6625965152693245	0.1	0.2	good>bad	0.8998459167950693
CXCL10	1.0151119684754888	-0.1687582909279539	0.6655007209225144	-0.11881653480812455	0.1	0.2	good>bad	0.8998459167950693
THBD	2.422091187463995	-0.07992273956487495	1.6192518680209123	0.39266529977277354	0.1	0.2	good>bad	0.8998459167950693
BCL2L1	0.8165772201400239	-0.009798826779764645	0.7735504277749593	-0.05503203492468245	0.1	0.2	good>bad	0.8998459167950693
PYCARD	1.1430814962461844	-0.9722642238237251	0.584515690149659	-1.2469514030732902	0.1	0.2	good>bad	0.8998459167950693
PASD1	2.194478126543173	0.48875285067801366	1.98135577041455	0.6192495643100622	0.1	0.2	good>bad	0.8998459167950693
CSF3R	2.540505593184363	0.5268600901292888	1.9608418079595182	0.5371097843191031	0.1	0.2	good>bad	0.8998459167950693
NFKB2	2.0879105321430034	0.667075468595273	2.036625431735228	0.8634045221169542	0.1	0.2	good>bad	0.8998459167950693
BATF	2.4746396484417956	-0.33305950226047787	1.677273012070554	0.25565275203624477	0.1	0.2	good>bad	0.8998459167950693
FLT3LG	0.7300352671902637	0.45830927714430236	1.6956941680959394	0.2911485911120352	0.1	0.2	good>bad	0.8998459167950693
HCK	2.605662808273104	0.7368399733402743	2.11250030150838	0.8390872418418388	0.1	0.2	good>bad	0.8998459167950693
FCGR3A	2.180672830094889	0.5578032133440509	1.7371255271226727	0.7892018054150537	0.1	0.2	good>bad	0.8998459167950693
TLR1	2.2774589634897726	0.6230603673463819	1.881080878933479	0.7781255257216716	0.1	0.2	good>bad	0.8998459167950693
TLR2	2.365192659908425	0.6043382175663413	1.9709298720794564	0.8609084587777077	0.1	0.2	good>bad	0.8998459167950693
TAP1	0.7843440901252092	-0.05457508657792731	0.7440806333784303	0.08588508988600872	0.1	0.2	good>bad	0.8998459167950693
STAT6	1.5979744455223703	-0.6691903118542377	1.452663571686518	-0.4126884553358472	0.1	0.2	good>bad	0.8998459167950693
