metric	label	n_good	n_bad	good_median	bad_median	good_mean	bad_mean	MW_p_twosided
n_binder_sites	MHC-I binder sites	18	17	76.0	71.0	90.44444444444444	110.94117647058823	0.7790317111341579
n_binders	total binder peptides	18	17	408.5	354.0	521.2777777777778	588.0588235294117	0.9605149582960633
n_strong_binders	strong binders (IC50<50nM)	18	17	34.5	37.0	45.05555555555556	59.11764705882353	0.4880923847561375
PCN	peptide-copy number (PCN)	18	17	152.863	156.62599999999998	312.6537777777778	457.9716470588235	0.6089476244742323
