composite_or_ratio	axis	good_mean	bad_mean	good_minus_bad	direction	MW_1sP_good_gt_bad	MW_1sP_good_lt_bad	MW_2sP	ceiling_hit_good_gt_bad_le_0p05	good_values	bad_values
M1_macro	post-treatment	0.97	-0.004	0.974	good>bad	0.1	0.95	0.2	False	+1.402,+1.384,+0.122	-0.274,-0.430,+0.692
M2_macro	post-treatment	0.663	0.354	0.309	good>bad	0.5	0.65	1.0	False	+1.334,+0.881,-0.225	+0.040,+0.054,+0.969
NK_activating	post-treatment	0.432	0.377	0.055	good>bad	0.5	0.65	1.0	False	+0.992,+0.563,-0.260	-0.258,-0.277,+1.666
NK_inhibiting	post-treatment	0.097	0.862	-0.766	bad>good	0.9	0.2	0.4	False	+0.608,+0.040,-0.357	+0.433,+0.214,+1.940
DC_mature	post-treatment	0.793	0.193	0.6	good>bad	0.35	0.8	0.7	False	+1.258,+1.504,-0.382	-0.233,-0.161,+0.973
HLA_I_machinery_narrow	post-treatment	0.874	-0.256	1.13	good>bad	0.05	1.0	0.1	True	+0.622,+1.407,+0.593	+0.221,+0.373,-1.361
TLS_8	Δ (post − pre)	0.926	0.846	0.08	good>bad	0.8	0.35	0.7	False	+1.827,+0.537,+0.415	+1.215,+0.578,+0.745
Plasma_proxy	Δ (post − pre)	0.331	0.456	-0.126	bad>good	0.65	0.5	1.0	False	+1.707,+0.121,-0.836	+1.711,+0.673,-1.015
GC_TF	Δ (post − pre)	1.055	1.306	-0.251	bad>good	0.8	0.35	0.7	False	+1.678,+1.138,+0.349	+1.586,+0.377,+1.957
Naive_B	Δ (post − pre)	-0.009	1.176	-1.185	bad>good	0.95	0.1	0.2	False	+1.183,-1.191,-0.019	+1.661,+0.669,+1.197
Memory_B	Δ (post − pre)	0.029	0.382	-0.353	bad>good	0.8	0.35	0.7	False	+1.488,-0.912,-0.489	+1.697,+0.094,-0.646
BAFF_APRIL	Δ (post − pre)	0.465	0.777	-0.312	bad>good	0.8	0.35	0.7	False	+1.474,+0.146,-0.224	+1.964,+0.551,-0.184
HLA_II	Δ (post − pre)	0.748	0.076	0.673	good>bad	0.5	0.65	1.0	False	+1.150,+0.535,+0.560	+0.934,+1.061,-1.767
CD8_exh	Δ (post − pre)	0.955	0.602	0.354	good>bad	0.5	0.65	1.0	False	+2.024,+0.788,+0.054	+0.850,-0.232,+1.186
HLA_I_axis	Δ (post − pre)	0.751	0.486	0.265	good>bad	0.5	0.65	1.0	False	+1.294,+0.866,+0.093	+1.386,+0.193,-0.121
T_cell	Δ (post − pre)	0.136	0.715	-0.579	bad>good	0.8	0.35	0.7	False	+2.150,-0.775,-0.968	+1.010,+0.463,+0.672
Ayers_TIS	Δ (post − pre)	0.729	0.603	0.126	good>bad	0.65	0.5	1.0	False	+1.957,+0.548,-0.318	+0.893,+0.228,+0.688
IFNg_6	Δ (post − pre)	0.769	0.224	0.545	good>bad	0.2	0.9	0.4	False	+1.174,+0.972,+0.161	+0.264,-0.370,+0.778
IFNg_10_Ayers	Δ (post − pre)	0.832	0.3	0.532	good>bad	0.1	0.95	0.2	False	+1.577,+0.722,+0.197	+0.157,+0.070,+0.674
IMPRES_pos	Δ (post − pre)	0.976	0.609	0.367	good>bad	0.35	0.8	0.7	False	+2.070,+0.844,+0.014	+0.498,-0.119,+1.448
Teff_cytotoxic	Δ (post − pre)	0.575	0.491	0.084	good>bad	0.5	0.65	1.0	False	+1.958,+0.000,-0.232	-0.028,-0.214,+1.715
Treg	Δ (post − pre)	1.181	0.529	0.652	good>bad	0.35	0.8	0.7	False	+2.522,+1.052,-0.030	+0.354,-0.255,+1.488
CD8_cytotoxic	Δ (post − pre)	0.475	0.522	-0.047	bad>good	0.65	0.5	1.0	False	+1.801,-0.087,-0.288	+0.020,-0.121,+1.668
M1_macro	Δ (post − pre)	1.085	0.846	0.239	good>bad	0.5	0.65	1.0	False	+1.396,+1.478,+0.381	+0.564,-0.018,+1.992
M2_macro	Δ (post − pre)	1.097	0.939	0.158	good>bad	0.5	0.65	1.0	False	+1.619,+1.400,+0.271	+0.847,+0.388,+1.582
NK_activating	Δ (post − pre)	0.487	1.13	-0.643	bad>good	0.8	0.35	0.7	False	+1.569,+0.351,-0.459	+0.587,+0.125,+2.678
NK_inhibiting	Δ (post − pre)	0.458	1.46	-1.003	bad>good	0.95	0.1	0.2	False	+1.291,-0.039,+0.122	+1.377,+0.391,+2.612
DC_mature	Δ (post − pre)	1.033	0.941	0.092	good>bad	0.65	0.5	1.0	False	+1.728,+1.367,+0.003	+0.473,+0.077,+2.272
HLA_I_machinery_narrow	Δ (post − pre)	0.751	0.486	0.265	good>bad	0.5	0.65	1.0	False	+1.294,+0.866,+0.093	+1.386,+0.193,-0.121
Teff_over_Treg	pre ratio	0.214	0.108	0.106	good>bad	0.5	0.65	1.0	False	+0.470,+0.518,-0.346	+0.588,+0.226,-0.489
CD8cyt_over_CD8exh	pre ratio	0.128	0.151	-0.023	bad>good	0.35	0.8	0.7	False	+0.350,-0.014,+0.050	+0.891,-0.103,-0.334
M1_over_M2	pre ratio	0.318	-0.266	0.584	good>bad	0.05	1.0	0.1	True	+0.292,+0.425,+0.237	-0.031,-0.079,-0.687
NK_activ_over_inhib	pre ratio	0.306	-0.155	0.461	good>bad	0.05	1.0	0.1	True	+0.105,+0.134,+0.677	+0.099,-0.225,-0.340
Teff_over_Treg	post ratio	-0.392	0.07	-0.462	bad>good	0.95	0.1	0.2	False	-0.095,-0.533,-0.548	+0.205,+0.267,-0.262
CD8cyt_over_CD8exh	post ratio	-0.352	0.072	-0.424	bad>good	0.9	0.2	0.4	False	+0.126,-0.889,-0.293	+0.062,+0.008,+0.147
M1_over_M2	post ratio	0.306	-0.358	0.665	good>bad	0.05	1.0	0.1	True	+0.068,+0.504,+0.347	-0.314,-0.484,-0.277
NK_activ_over_inhib	post ratio	0.335	-0.485	0.82	good>bad	0.05	1.0	0.1	True	+0.384,+0.524,+0.097	-0.691,-0.491,-0.274
Teff_over_Treg	delta ratio	-0.606	-0.038	-0.568	bad>good	0.95	0.1	0.2	False	-0.565,-1.052,-0.202	-0.383,+0.041,+0.227
CD8cyt_over_CD8exh	delta ratio	-0.48	-0.079	-0.401	bad>good	0.9	0.2	0.4	False	-0.223,-0.875,-0.342	-0.830,+0.111,+0.481
M1_over_M2	delta ratio	-0.012	-0.093	0.081	good>bad	0.35	0.8	0.7	False	-0.223,+0.079,+0.110	-0.283,-0.406,+0.410
NK_activ_over_inhib	delta ratio	0.029	-0.33	0.36	good>bad	0.2	0.9	0.4	False	+0.278,+0.390,-0.580	-0.790,-0.267,+0.066
