subject_id	y	prob
1	0	0.36708438288732814
2	1	0.6653825388751783
3	1	0.8316151465381769
4	1	0.6999051246993451
5	0	0.5555193695810157
6	1	0.6277511507834583
7	0	0.514421102211718
8	1	0.34949820982633517
9	1	0.6269877885576518
10	0	0.542473685658288
11	0	0.5425127804905692
12	0	0.5299047280366121
13	0	0.36021389803925546
14	1	0.5801470273110718
15	0	0.3672539180526865
16	1	0.3969791026387987
17	1	0.29823277478623733
18	0	0.28014834976328246
19	0	0.1381585951330846
20	1	0.5118264067480255
21	0	0.5911189604590752
22	0	0.2070083504107446
23	1	0.42400502958123304
24	1	0.7904741895534515
25	1	0.4751148785511447
26	0	0.7360779959389707
27	1	0.6379205998307854
28	1	0.5366329266885269
29	1	0.5604288418175368
30	1	0.5557051701598662
31	1	0.532329965879901
32	0	0.8717114372350059
33	0	0.5484071298037921
34	0	0.29920751711149585
35	0	0.23874001972266976
