fold	model	best_k	features
11	ElasticNet	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
11	LASSO	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
12	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
12	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
13	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
13	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
14	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
14	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
15	ElasticNet	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
15	LASSO	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
16	ElasticNet	12	frac_amp;SBS5;MHC_II;Hypoxia_Buffa;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
16	LASSO	12	frac_amp;SBS5;MHC_II;Hypoxia_Buffa;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
17	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
17	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
18	ElasticNet	5	frac_amp;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;G2-M Checkpoint
18	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
19	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
19	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
20	ElasticNet	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
20	LASSO	12	MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
21	ElasticNet	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
21	LASSO	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
22	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
22	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
23	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
23	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
24	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
24	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
25	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
25	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
26	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
26	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
27	ElasticNet	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
27	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
28	ElasticNet	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
28	LASSO	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
29	ElasticNet	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
29	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
30	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
30	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
31	ElasticNet	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
31	LASSO	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
32	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
32	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
33	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
33	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
34	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
34	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
