subject_id	y	prob
1	0	0.49880390724716434
2	1	0.645868414562486
3	1	0.7248313859637642
4	1	0.6686417866719504
5	0	0.5946070247417639
6	1	0.6089747050694515
7	0	0.6399941404076254
8	1	0.419482895782618
9	1	0.6711878671848264
10	0	0.4947222485636605
11	0	0.6231003747554684
12	0	0.5204415481063371
13	0	0.343034135055151
14	1	0.6302487140868355
15	0	0.38279958246166795
16	1	0.2001277546702508
17	1	0.3075040700367768
18	0	0.3448301738205153
19	0	0.2786027344502212
20	1	0.5791094566652024
21	0	0.6760096061133251
22	0	0.21323822960244335
23	1	0.3500072502755467
24	1	0.8948926602308882
25	1	0.46687759618891195
26	0	0.8460066340784463
27	1	0.6727281924351682
28	1	0.6562234746578048
29	1	0.872989471764466
30	1	0.7138661331669034
31	1	0.6348411233901791
32	0	0.3903079129989325
33	0	0.5581684132680742
34	0	0.3120409035914473
35	0	0.30350663394588007
