sample_id	Bcell_infiltration	CD8_cytotoxic	TLS_Cabrita	Tcell_infiltration
TNT_RNA_1	0.4785832963847504	0.5718909426415222	0.669043292306846	0.6866725179708314
TNT_RNA_10	0.3683685442676247	0.5721273772065317	0.6245918239297864	0.6511830454102674
TNT_RNA_11	0.49399524630840924	0.6005891571636274	0.5706299276860077	0.6094114057696536
TNT_RNA_12	0.22522694877323263	0.622491688499851	0.6791018369445011	0.59947262136974
TNT_RNA_13	0.5712397034547891	0.5700196495323598	0.5564934270268589	0.6879699613551565
TNT_RNA_14	0.4323937692300956	0.488149989712784	0.4978367825186693	0.5777633933450215
TNT_RNA_15	0.7320700182814395	0.5395748156505492	0.8078460592817259	0.6416728818193751
TNT_RNA_16	0.6536760135815354	0.5270989726848416	0.7253671720789006	0.7202486021994206
TNT_RNA_17	0.16772567009641676	0.3760948188755979	0.2659206955433484	0.48401055583816344
TNT_RNA_18	0.22039365053780016	0.47981739980026655	0.5315171399189859	0.5730040812821469
TNT_RNA_19	0.4532659704084019	0.5400119492941052	0.6482092706420429	0.6702305065293287
TNT_RNA_2	0.3652852018311462	0.5712397920476242	0.455368895480009	0.6094929146007926
TNT_RNA_20	0.35475497142839524	0.46380338877430133	0.5217458764007036	0.5238621516942809
TNT_RNA_21	0.44075965431330383	0.7427884511479949	0.7693741676793698	0.7008890309372827
TNT_RNA_22	0.3476951636570813	0.5830037683068102	0.5490739760268296	0.6706454761825997
TNT_RNA_23	0.13526509686549423	0.32916430498274335	0.406406328224712	0.47064969152987424
TNT_RNA_24	0.17286402399921733	0.5912370206738156	0.7896811996978147	0.549974258630866
TNT_RNA_25	0.5089023675287306	0.5844319538475117	0.6807869453139394	0.6724812234127632
TNT_RNA_26	0.3096820176128927	0.5670772300696528	0.5356785591344481	0.5163736786733977
TNT_RNA_27	0.49580033182812083	0.5823924595189078	0.7801423357419408	0.6481893043633925
TNT_RNA_28	0.9313544633276997	0.5904185017828529	0.880104345130405	0.758742205793758
TNT_RNA_29	-0.06864553667230032	0.4238347987862404	0.46032808260815644	0.5328486955455822
TNT_RNA_3	0.049849889685344505	0.4859513085172278	0.4694872263773759	0.5544400156487547
TNT_RNA_30	0.18589810260991946	0.4765340559504549	0.5669419061989003	0.6150480805690184
TNT_RNA_33	0.37155268661494706	0.4792516012816517	0.5806408142261047	0.5488767194593447
TNT_RNA_35	0.3243841526865013	0.5689340474985939	0.49971617159610027	0.6244074974933207
TNT_RNA_36	0.3665333668266778	0.6257672714467262	0.7117252283809572	0.6448803199636743
TNT_RNA_38	0.4630366095617321	0.46008706777483427	0.6605915493237542	0.6120073612855611
TNT_RNA_39	0.01882378920020739	0.46572635615634117	0.5439191490892806	0.42762897059162613
TNT_RNA_4	0.4536325787884753	0.45202531623295317	0.7063567251477325	0.5655131851402401
TNT_RNA_41	0.2452618235111786	0.528012819881592	0.5171843867293849	0.5631493266059756
TNT_RNA_42	0.23876710200865572	0.4799824365618005	0.5102511398546301	0.5043979699380093
TNT_RNA_43	0.1580890223225391	0.4161538020167506	0.4957056784492544	0.5037680908060851
TNT_RNA_44	0.43213106448824185	0.8486542723598954	0.805531818618034	0.8318221811736924
TNT_RNA_45	0.5776128047596641	0.5741497495867358	0.681693777142661	0.6805792842089593
TNT_RNA_46	0.4108971125672172	0.6787228287140553	0.695339341133823	0.6650228132691097
TNT_RNA_47	0.1225187694664309	0.4342561333091209	0.6326742505560485	0.48740258974133494
TNT_RNA_49	0.1986722293054584	0.42807172358776463	0.39637746592705486	0.43895276036108105
TNT_RNA_5	0.3598365258131935	0.5155369375249863	0.4989116130707589	0.5428119661873779
TNT_RNA_50	-0.01121510090640216	0.5464412252983265	0.4854444677793926	0.4664395064105284
TNT_RNA_51	0.09071990350092586	0.5025511383239887	0.38125564453369665	0.5046135166340502
TNT_RNA_52	0.36794122229480547	0.47071125387902474	0.4889736320988559	0.5740736926249567
TNT_RNA_53	0.46802058852698725	0.501919993262522	0.6211452268583902	0.5752158077842568
TNT_RNA_54	0.2231878700803917	0.5137457099148633	0.4737589742765506	0.5010137242542102
TNT_RNA_55	0.45851363249734123	0.5277100627556665	0.6562942840763253	0.6391154743216241
TNT_RNA_56	0.14035818135478673	0.4464690619126694	0.4816140352795176	0.486695419567694
TNT_RNA_57	0.48699245763402965	0.5215893561628904	0.5254825164384983	0.5342788294970656
TNT_RNA_58	0.07430394137593722	0.3881773016435748	0.28692598184646984	0.404417541014426
TNT_RNA_59	0.5525626505405921	0.5589788510681781	0.7529397778385141	0.5959448613038303
TNT_RNA_6	0.49968257223763757	0.7525851442423244	0.7316688352762698	0.7274075100310926
TNT_RNA_60	0.034327581503310264	0.3740276586679465	0.30822131292941995	0.4475708327630981
TNT_RNA_61	0.14589903429806864	0.5352529664905766	0.4569393968260049	0.5469772713455446
TNT_RNA_62	0.7533669824553323	0.5479537396078318	0.7938381770609043	0.6590494023856508
TNT_RNA_63	0.5917243727336072	0.8209101125449593	0.9262099620486771	0.7625174571645833
TNT_RNA_7	0.5201967377235933	0.5047134754608871	0.691536587937169	0.6702657188269593
TNT_RNA_8	0.07126408285586239	0.5094133925291618	0.4946432937713044	0.5128884046658672
