feature	coef	abs
MSI_pct	0.12050564367155794	0.12050564367155794
MHC_II	-0.23087853258384824	0.23087853258384824
frac_amp	-0.7560664546677817	0.7560664546677817
DNA Double-Strand Break Repair R-HSA-5693532	0.8887224663728919	0.8887224663728919
