subject_id	y	prob
1	0	0.5237197404847298
2	1	0.6653825876768484
3	1	0.7712669168171643
4	1	0.6057050491070577
5	0	0.5554300988229146
6	1	0.6277525232839718
7	0	0.5926274171237174
8	1	0.4106949970161076
9	1	0.7046194241344782
10	0	0.5177796369784009
11	0	0.6488708393786771
12	0	0.5299160337156827
13	0	0.36132238957921736
14	1	0.649618167225772
15	0	0.2917593204648546
16	1	0.27640632963118306
17	1	0.2982346879426357
18	0	0.3416303686416097
19	0	0.24636654059954613
20	1	0.5994205207607013
21	0	0.5911185427920833
22	0	0.31492559579360413
23	1	0.32438331150140426
24	1	0.7904733768407929
25	1	0.45372442529234186
26	0	0.7360136261513631
27	1	0.6945219132160694
28	1	0.5366957455280128
29	1	0.7660624606299348
30	1	0.555740438810495
31	1	0.6087063585587393
32	0	0.47754107011180635
33	0	0.5484074450474073
34	0	0.3029215175890204
35	0	0.2447486849015339
