subject_id	y	prob
1	0	0.49882275114259716
2	1	0.6458849066715072
3	1	0.7248190238248887
4	1	0.6686430871279329
5	0	0.5946551502027041
6	1	0.6089880951859077
7	0	0.6399868916040313
8	1	0.41949127415356735
9	1	0.6711880790585981
10	0	0.4947221504428133
11	0	0.6230994213702067
12	0	0.5204445232540954
13	0	0.34304744343837584
14	1	0.6302488656000712
15	0	0.3828035358006842
16	1	0.19992530688971763
17	1	0.30749305374702923
18	0	0.34483781979160694
19	0	0.2786008886322216
20	1	0.5790966471335287
21	0	0.6760161071719982
22	0	0.21325405268545342
23	1	0.3499550168912797
24	1	0.894892694920564
25	1	0.4668743074960658
26	0	0.8459820431838858
27	1	0.6727319828427345
28	1	0.6562208690618957
29	1	0.8729851242207464
30	1	0.7138784875142072
31	1	0.6348612909998589
32	0	0.3903192862919553
33	0	0.5581647273136064
34	0	0.3120460260461124
35	0	0.30348085902420713
