signature	discovery_Z	discovery_P	discovery_delta	n_good	n_bad
DSB_HDR_repair	2.503522604756339	0.012296382523679119	0.8664881776979253	17	16
Tumor_cellcycle	2.143303524935282	0.032088733978231254	0.7554141493592872	17	16
E2F_MYC_cellcycle	2.2873911568637046	0.02217300199481971	0.6644588571665868	17	16
EMT	1.1707120094184307	0.24171455630584604	-0.47420396070179294	17	16
CD8_cytotoxic	-0.19812049390158065	0.8429507908219149	-0.011753239242472024	17	16
Tcell_infiltration	0.05403286197315837	0.9569089824064287	0.004543127224265867	17	16
Bcell_infiltration	0.6664052976689527	0.505152077251301	0.1961857749162617	17	16
