subject_id	y	prob
1	0	0.5236674490549016
2	1	0.6653828872073293
3	1	0.7712680019956785
4	1	0.6057206516744433
5	0	0.5554776464284326
6	1	0.6277510308341963
7	0	0.5926269715596318
8	1	0.41069366070450924
9	1	0.7046143302489372
10	0	0.5177880957738082
11	0	0.6488708387566321
12	0	0.530140328211489
13	0	0.3613222778470752
14	1	0.6496212732423355
15	0	0.2917657795393903
16	1	0.20274716913605992
17	1	0.2982316007772639
18	0	0.3416219787791074
19	0	0.24636352717282356
20	1	0.5994211704134053
21	0	0.5911259010584055
22	0	0.3149294613640445
23	1	0.3243845129589463
24	1	0.7904729952729762
25	1	0.45374331458517064
26	0	0.736012025771543
27	1	0.6945136139076901
28	1	0.5398321610941499
29	1	0.7660627469941272
30	1	0.5557299416205201
31	1	0.6087056981699763
32	0	0.4775090070923755
33	0	0.5484060973289321
34	0	0.30292113540481747
35	0	0.244744393044075
