subject_id	y	prob
1	0	0.4985009287697084
2	1	0.6458689826163123
3	1	0.7248626749249488
4	1	0.6686410597595495
5	0	0.5946589227057891
6	1	0.6089818719675333
7	0	0.6424555317671317
8	1	0.4194744235073112
9	1	0.6086168632609944
10	0	0.49472529097319545
11	0	0.6231234851046571
12	0	0.5204443188937036
13	0	0.34303164262417796
14	1	0.5731585235841437
15	0	0.38279054208245344
16	1	0.19991052583633212
17	1	0.3074716438201827
18	0	0.34482881887817135
19	0	0.27859181360151075
20	1	0.5791010182916785
21	0	0.676006352275618
22	0	0.21323824042644365
23	1	0.3500110164125801
24	1	0.8949081766670053
25	1	0.46687454628011754
26	0	0.8460575064598599
27	1	0.6727497650889325
28	1	0.6562508879496521
29	1	0.7276385507998371
30	1	0.7138645725090204
31	1	0.634854676461365
32	0	0.8877121037060607
33	0	0.5742720699728523
34	0	0.31202426352144885
35	0	0.30349444334828957
