baseline	delta	n_paired	spearman_r	spearman_p	pearson_r	pearson_p	partial_r_resp_adj	partial_p_resp_adj	partial_q_BH
DNA Repair R-HSA-73894	CD8_cytotoxic_delta	12	-0.007	0.9828	-0.152	0.6374	-0.069	0.831	0.9945
Myc Targets V2	TLS_Cabrita_delta	12	0.175	0.5868	0.385	0.2159	0.069	0.8323	0.9945
CD8_proliferation	Treg_delta	12	0.308	0.3306	0.15	0.642	0.069	0.8323	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	neo_binders_delta	10	-0.248	0.4888	-0.224	0.5332	-0.076	0.8344	0.9945
G2-M Checkpoint	CD8_exhaustion_delta	12	0.126	0.6967	0.029	0.9278	-0.067	0.8355	0.9945
E2F Targets	CD8_exhaustion_delta	12	0.126	0.6967	-0.009	0.9783	-0.067	0.8355	0.9945
CIN	Tcell_infiltration_delta	12	0.098	0.7621	0.19	0.5538	0.066	0.8396	0.9945
Myc Targets V2	neo_binders_delta	10	-0.212	0.5563	-0.127	0.7275	-0.07	0.8476	0.9945
frac_amp	neo_binders_delta	11	-0.015	0.9654	0.125	0.7132	-0.064	0.8522	0.9945
Stemness_mRNAsi_proxy	Treg_delta	12	0.154	0.6331	-0.023	0.9436	-0.059	0.8543	0.9945
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	TRB_shannon_delta	12	0.098	0.7621	0.369	0.2383	-0.058	0.8585	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	Treg_delta	12	0.392	0.2081	0.211	0.51	-0.057	0.8606	0.9945
frac_del	Treg_delta	12	-0.203	0.5273	-0.062	0.8486	-0.055	0.8642	0.9945
Antigen_presentation	IGH_n_delta	12	0.007	0.9828	0.187	0.5605	-0.054	0.8685	0.9945
CD8_cytotoxic	IGH_n_delta	12	-0.049	0.8799	0.124	0.7005	-0.053	0.8699	0.9945
MSI_pct	Tcell_infiltration_delta	11	0.0	1.0	-0.018	0.9571	-0.055	0.8714	0.9945
frac_del	IGH_n_delta	12	-0.14	0.6646	-0.195	0.5444	-0.052	0.8723	0.9945
Epithelial Mesenchymal Transition	neo_sites_delta	10	0.067	0.8548	0.093	0.7979	0.058	0.874	0.9945
MHC_II	missense_delta	11	0.082	0.8106	-0.016	0.9636	0.054	0.8757	0.9945
Myc Targets V2	MHC_II_delta	12	0.245	0.4433	0.236	0.46	-0.049	0.8798	0.9945
Tcell_infiltration	SBS5_delta	13	0.341	0.254	0.23	0.4487	0.045	0.8833	0.9945
frac_del	Tcell_infiltration_delta	12	-0.014	0.9656	0.061	0.85	0.047	0.8846	0.9945
Stemness_mRNAsi_proxy	TRB_shannon_delta	12	0.14	0.6646	0.013	0.9683	0.047	0.8857	0.9945
Hypoxia	missense_delta	11	0.105	0.7591	0.233	0.4897	0.048	0.8878	0.9945
CIN	TRB_shannon_delta	12	0.091	0.7787	0.009	0.9767	0.045	0.8894	0.9945
frac_amp	MHC_II_delta	12	-0.183	0.569	-0.155	0.6306	0.044	0.8919	0.9945
Antigen_presentation	Bcell_infiltration_delta	12	-0.049	0.8799	0.122	0.7057	-0.042	0.8958	0.9945
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	TLS_Cabrita_delta	12	0.14	0.6646	0.303	0.3379	0.04	0.9018	0.9945
MHC_II	Bcell_infiltration_delta	12	-0.035	0.9141	-0.131	0.6845	-0.04	0.9021	0.9945
Antigen_presentation	TRB_shannon_delta	12	0.014	0.9656	0.408	0.1882	-0.038	0.9078	0.9945
Stemness_mRNAsi_proxy	Bcell_infiltration_delta	12	-0.049	0.8799	-0.008	0.9806	-0.037	0.9102	0.9945
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	neo_binders_delta	10	-0.176	0.6272	-0.11	0.7628	-0.04	0.912	0.9945
CD8_proliferation	CD8_cytotoxic_delta	12	0.07	0.829	-0.066	0.8394	0.036	0.9127	0.9945
MHC_II	Treg_delta	12	-0.091	0.7787	-0.219	0.4934	-0.035	0.9141	0.9945
Hypoxia_Buffa	MHC_II_delta	12	0.028	0.9312	0.062	0.8483	0.034	0.9157	0.9945
MHC_II	TRB_shannon_delta	12	-0.063	0.8459	-0.102	0.7515	-0.032	0.9205	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	TLS_Cabrita_delta	12	0.175	0.5868	0.348	0.2671	0.031	0.9242	0.9945
DNA Repair R-HSA-73894	MHC_II_delta	12	0.287	0.3663	0.124	0.7003	-0.03	0.9253	0.9945
CD8_cytotoxic	TRB_shannon_delta	12	0.028	0.9312	0.096	0.7666	0.03	0.9269	0.9945
MSI_pct	CD8_exhaustion_delta	11	0.224	0.5086	0.19	0.5753	0.031	0.9278	0.9945
Bcell_infiltration	IGH_n_delta	12	-0.119	0.7129	0.097	0.7653	-0.029	0.9296	0.9945
Hypoxia_Buffa	CD8_cytotoxic_delta	12	0.028	0.9312	-0.004	0.9901	0.028	0.9309	0.9945
TGF-beta Signaling	TRB_shannon_delta	12	-0.056	0.8629	-0.02	0.9507	0.028	0.931	0.9945
CIN	neo_sites_delta	11	0.073	0.8317	0.111	0.7461	0.029	0.9333	0.9945
MSI_pct	Bcell_infiltration_delta	11	-0.075	0.8276	-0.225	0.5064	0.028	0.9342	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	TRB_shannon_delta	12	0.231	0.4705	0.437	0.1554	0.025	0.9374	0.9945
MHC_II	neo_sites_delta	10	0.091	0.8028	0.059	0.8705	0.027	0.9417	0.9945
CD8_cytotoxic	missense_delta	11	0.014	0.9682	0.15	0.6599	0.024	0.9439	0.9945
DNA Repair R-HSA-73894	CD8_exhaustion_delta	12	0.266	0.4038	-0.01	0.9765	-0.023	0.9441	0.9945
Myc Targets V2	CD8_cytotoxic_delta	12	0.028	0.9312	-0.044	0.8913	-0.021	0.9474	0.9945
E2F Targets	TRB_shannon_delta	12	0.133	0.6806	0.414	0.181	0.021	0.9482	0.9945
G2-M Checkpoint	TRB_shannon_delta	12	0.133	0.6806	0.441	0.1512	0.021	0.9482	0.9945
Epithelial Mesenchymal Transition	TLS_Cabrita_delta	12	-0.063	0.8459	-0.122	0.7057	0.02	0.9498	0.9945
frac_del	CD8_exhaustion_delta	12	-0.112	0.7292	-0.032	0.9224	0.02	0.9512	0.9945
Hypoxia_Buffa	missense_delta	11	-0.05	0.8837	-0.154	0.6502	-0.021	0.9519	0.9945
CD8_cytotoxic	Treg_delta	12	0.014	0.9656	-0.008	0.9806	0.019	0.9533	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	missense_delta	11	-0.141	0.6787	-0.19	0.5765	0.019	0.9569	0.9945
EMT_Mak	SBS5_delta	13	0.124	0.687	0.197	0.5185	0.016	0.959	0.9945
DNA Repair R-HSA-73894	Treg_delta	12	0.35	0.2652	0.069	0.831	-0.015	0.9633	0.9945
E2F Targets	missense_delta	11	-0.077	0.8209	-0.283	0.3995	0.015	0.9647	0.9945
G2-M Checkpoint	missense_delta	11	-0.077	0.8209	-0.273	0.4172	0.015	0.9647	0.9945
TGF-beta Signaling	Tcell_infiltration_delta	12	-0.07	0.829	-0.05	0.8767	-0.012	0.9695	0.9945
G2-M Checkpoint	neo_binders_delta	10	-0.103	0.777	-0.15	0.6787	0.008	0.9816	0.9945
E2F Targets	neo_binders_delta	10	-0.103	0.777	-0.16	0.6593	0.008	0.9816	0.9945
Myc Targets V2	Treg_delta	12	0.322	0.3079	0.154	0.6318	-0.007	0.9822	0.9945
Myc Targets V2	CD8_exhaustion_delta	12	0.252	0.4299	0.087	0.7886	-0.006	0.9845	0.9945
TMB_nonsyn_per_Mb	neo_binders_delta	11	-0.155	0.65	-0.102	0.7663	-0.006	0.9871	0.9945
NLRC5_HLA_IFNG	Treg_delta	12	0.161	0.6175	0.149	0.6439	-0.003	0.992	0.9945
NLRC5_HLA_IFNG	TRB_shannon_delta	12	0.084	0.7954	0.3	0.3427	0.003	0.9937	0.9945
EMT_Mak	neo_sites_delta	10	0.091	0.8028	0.039	0.9158	-0.003	0.9941	0.9945
Epithelial Mesenchymal Transition	neo_binders_delta	10	0.006	0.9867	0.014	0.9687	-0.003	0.9945	0.9945
