baseline	delta	n_paired	spearman_r	spearman_p	pearson_r	pearson_p	partial_r_resp_adj	partial_p_resp_adj	partial_q_BH
Stemness_mRNAsi_proxy	neo_sites_delta	10	0.236	0.5109	0.348	0.3244	0.449	0.1932	0.9519
Antigen_presentation	MHC_II_delta	12	-0.238	0.4568	-0.006	0.9854	-0.399	0.199	0.9519
Hypoxia_Buffa	Treg_delta	12	0.294	0.3541	0.235	0.4614	0.399	0.1994	0.9519
NLRC5_HLA_IFNG	CD8_cytotoxic_delta	12	-0.357	0.2551	-0.349	0.2658	-0.393	0.2058	0.9519
MSI_pct	CD8_cytotoxic_delta	11	-0.373	0.259	-0.271	0.4194	-0.413	0.207	0.9519
Epithelial Mesenchymal Transition	CD8_exhaustion_delta	12	0.133	0.6806	-0.04	0.9019	0.392	0.208	0.9519
DNA Repair R-HSA-73894	neo_sites_delta	10	-0.552	0.0984	-0.387	0.2696	-0.431	0.2139	0.9519
Tcell_infiltration	neo_binders_delta	10	0.479	0.1615	0.551	0.0984	0.428	0.2173	0.9519
TMB_nonsyn_per_Mb	CD8_cytotoxic_delta	12	-0.336	0.2861	-0.281	0.376	-0.382	0.2208	0.9519
EMT_Mak	TRB_shannon_delta	12	0.245	0.4433	0.227	0.4772	0.38	0.2225	0.9519
TMB_nonsyn_per_Mb	CD8_exhaustion_delta	12	-0.154	0.6331	-0.258	0.4181	-0.379	0.2238	0.9519
MHC_II	MHC_II_delta	12	-0.364	0.2453	-0.665	0.0184	-0.379	0.224	0.9519
Bcell_infiltration	Bcell_infiltration_delta	12	-0.35	0.2652	-0.485	0.11	-0.373	0.2327	0.9519
NLRC5_HLA_IFNG	MHC_II_delta	12	-0.147	0.6488	0.012	0.9694	-0.362	0.2469	0.9519
Tcell_infiltration	neo_sites_delta	10	0.527	0.1173	0.516	0.1267	0.404	0.2473	0.9519
frac_del	neo_sites_delta	11	0.491	0.1252	0.506	0.112	0.375	0.2558	0.9519
frac_amp	Treg_delta	12	-0.495	0.1017	-0.528	0.0779	-0.355	0.2575	0.9519
DNA Repair R-HSA-73894	Tcell_infiltration_delta	12	0.42	0.1745	0.472	0.1214	0.354	0.2584	0.9519
frac_amp	TLS_Cabrita_delta	12	0.229	0.4744	0.137	0.6713	0.354	0.2585	0.9519
TMB_nonsyn_per_Mb	Tcell_infiltration_delta	12	-0.259	0.4168	-0.661	0.0193	-0.354	0.2591	0.9519
Hypoxia	neo_sites_delta	10	-0.224	0.5334	-0.068	0.8527	-0.392	0.262	0.9519
NLRC5_HLA_IFNG	SBS5_delta	13	-0.407	0.1673	-0.423	0.1497	-0.336	0.2623	0.9519
Bcell_infiltration	neo_sites_delta	10	-0.188	0.6032	-0.262	0.4648	-0.392	0.2625	0.9519
