subject_id	y	prob
1	0	0.5237692667721985
2	1	0.6653827143861443
3	1	0.7712569487830594
4	1	0.6057266994501299
5	0	0.5554421719826823
6	1	0.6277503690819035
7	0	0.592626750864047
8	1	0.41069904840685967
9	1	0.7046174306211119
10	0	0.5177874733633018
11	0	0.648870932342103
12	0	0.5299048339325616
13	0	0.36132212885721254
14	1	0.6496187864715333
15	0	0.291751120926034
16	1	0.2764065255271623
17	1	0.2982293920959553
18	0	0.2801503108985422
19	0	0.13814400988808648
20	1	0.5994204429685893
21	0	0.5911172435646174
22	0	0.31492903856838594
23	1	0.3243849068957097
24	1	0.7904733595435041
25	1	0.45374715310727615
26	0	0.7360147530426573
27	1	0.6945041573579952
28	1	0.5366345395357622
29	1	0.7660619472787144
30	1	0.5557323616458287
31	1	0.6087060772035081
32	0	0.4775173590234188
33	0	0.5483935436146951
34	0	0.3029215547057574
35	0	0.24475015422947297
