subject_id	y	prob
1	0	0.36709827282283153
2	1	0.6653824380462998
3	1	0.8316337001585525
4	1	0.6999058885028271
5	0	0.5554700100343266
6	1	0.6277523338959863
7	0	0.5144035235780406
8	1	0.34950863090280493
9	1	0.6269884395342555
10	0	0.542514439022874
11	0	0.5424790342730113
12	0	0.5299208609678421
13	0	0.36021427253496274
14	1	0.5801294083909814
15	0	0.3672567810155993
16	1	0.39697897806919535
17	1	0.2982389358628406
18	0	0.28015433602058426
19	0	0.13815655658875178
20	1	0.5118256859810174
21	0	0.5911293892749477
22	0	0.2070450838812394
23	1	0.4239908816074477
24	1	0.7904739281446275
25	1	0.4750117387324527
26	0	0.7360771994946075
27	1	0.637921913050984
28	1	0.5366202601212373
29	1	0.5604710362550237
30	1	0.5557217068060293
31	1	0.5326282852624071
32	0	0.8717106508557189
33	0	0.5484007305932984
34	0	0.29920758898092764
35	0	0.2387385211934478
