subject_id	y	prob
1	0	0.59
2	1	0.72
3	1	0.7866666666666666
4	1	0.7588333333333334
5	0	0.4533333333333333
6	1	0.566
7	0	0.538
8	1	0.4043333333333333
9	1	0.784611111111111
10	0	0.4225
11	0	0.7633333333333333
12	0	0.35188888888888886
13	0	0.42377777777777775
14	1	0.25333333333333335
15	0	0.6490666666666666
16	1	0.06666666666666667
17	1	0.33666666666666667
18	0	0.272
19	0	0.208
20	1	0.12666666666666668
21	0	0.9
22	0	0.36
23	1	0.19111111111111112
24	1	0.7666666666666667
25	1	0.30672222222222206
26	0	0.7055
27	1	0.7277777777777779
28	1	0.5833333333333334
29	1	0.952
30	1	0.822
31	1	0.628
32	0	0.866
33	0	0.2691111111111111
34	0	0.20666666666666667
35	0	0.032
