subject_id	y	prob
1	0	0.5236261038085303
2	1	0.6653829029651727
3	1	0.7712629259772122
4	1	0.6057311671051069
5	0	0.5554147376530182
6	1	0.6277523397648606
7	0	0.5926239147103933
8	1	0.4106949222550767
9	1	0.704618569380778
10	0	0.5177917761258773
11	0	0.6488706155615375
12	0	0.5296820142775212
13	0	0.3613233706413464
14	1	0.6496212186631137
15	0	0.2917481552778417
16	1	0.4104912814317786
17	1	0.2982347869378948
18	0	0.3416509953594661
19	0	0.24636717415882572
20	1	0.5994216443175893
21	0	0.5911119020602909
22	0	0.3149278381613669
23	1	0.3243853358348381
24	1	0.7904722049753421
25	1	0.4537388846267082
26	0	0.7360125731008108
27	1	0.694514712410983
28	1	0.536613282252533
29	1	0.7660574770524322
30	1	0.5556958249444506
31	1	0.6087052516618168
32	0	0.4775224815660317
33	0	0.5484054531824891
34	0	0.3029194368798677
35	0	0.24474499469462171
