subject_id	y	prob
1	0	0.3670885575771501
2	1	0.6653824797833626
3	1	0.8316161450193228
4	1	0.6999060193863015
5	0	0.5554747445719873
6	1	0.6277507863277488
7	0	0.5144087784209479
8	1	0.34950618912183784
9	1	0.6269797455768464
10	0	0.5425495679543159
11	0	0.542655721135742
12	0	0.529903743292232
13	0	0.3602146685398109
14	1	0.5801703492096781
15	0	0.36725503977339646
16	1	0.39697819759579334
17	1	0.29823685571210157
18	0	0.28014447839806916
19	0	0.13814387151105564
20	1	0.5118171916559768
21	0	0.5911161788950635
22	0	0.20701398920786482
23	1	0.42401581243626224
24	1	0.7904741475814924
25	1	0.475016942002222
26	0	0.7360764058709549
27	1	0.637922736626969
28	1	0.536643283915494
29	1	0.5605304480131217
30	1	0.5557231619583385
31	1	0.5326232338728173
32	0	0.8717116661941056
33	0	0.5484072528336241
34	0	0.29920632729677366
35	0	0.23874493527510002
