subject_id	y	prob
1	0	0.49881187223245155
2	1	0.6458734013286749
3	1	0.7248309888982589
4	1	0.668638000102519
5	0	0.5946516989034485
6	1	0.608978166014132
7	0	0.6424485675859698
8	1	0.41948225435813363
9	1	0.6085767158565817
10	0	0.4947424584322196
11	0	0.623108134664295
12	0	0.5204477551673335
13	0	0.3430444918225341
14	1	0.5731421322340786
15	0	0.38280575546207185
16	1	0.19982786551861415
17	1	0.3074757647835654
18	0	0.34483901206974144
19	0	0.2785925939616743
20	1	0.5791044316399822
21	0	0.6760087045542152
22	0	0.2132486994908284
23	1	0.3500148789722175
24	1	0.8948905568591273
25	1	0.4668752188570846
26	0	0.8460408279379035
27	1	0.6726958036903995
28	1	0.6562439939580521
29	1	0.7276644446876042
30	1	0.7139011411930778
31	1	0.634860821495731
32	0	0.8877148154163582
33	0	0.5742190677432298
34	0	0.31202622550190473
35	0	0.30347861439813084
