subject_id	y	prob
1	0	0.49881341557881437
2	1	0.6458846131686407
3	1	0.7248449712741541
4	1	0.6686440975837672
5	0	0.5946744561514655
6	1	0.6089804631751892
7	0	0.6424438908705153
8	1	0.41948674468882463
9	1	0.608527562055082
10	0	0.49472789018269764
11	0	0.62311361373326
12	0	0.5204427115707337
13	0	0.34304112046894575
14	1	0.5731142832316858
15	0	0.3828177169891058
16	1	0.19987373147586918
17	1	0.3074775812120393
18	0	0.3448284596371808
19	0	0.27859783175640085
20	1	0.5790939918724086
21	0	0.6759871004948803
22	0	0.21323999623864237
23	1	0.34999602674280306
24	1	0.8948856021194085
25	1	0.4668781148899702
26	0	0.8460298338759645
27	1	0.6727465893769545
28	1	0.6562428159480479
29	1	0.7276573191530611
30	1	0.7138745089565324
31	1	0.6348662826348354
32	0	0.8877119989967877
33	0	0.5742246974088965
34	0	0.31203070893736856
35	0	0.3034890655319899
