v_gene	good_n_up	good_n_down	good_median_delta	good_sign_P_two	bad_n_up	bad_n_down	bad_median_delta	bad_sign_P_two	fisher_P_updown	mw_P_delta	coherence_gap	good_majority_frac	bad_majority_frac	pattern
IGHV3-38-3	0	5	-0.0005786122666044918	0.0625	3	3	-0.00040725929829577815	1.0	0.1818181818181818	0.5367965367965368	0.5	1.0	0.5	good_coherent_bad_mixed
IGHV1-45	4	0	0.00025356292570313	0.125	2	3	-0.0005997591123628619	1.0	0.16666666666666669	0.5476190476190477	0.4	1.0	0.6	good_coherent_bad_mixed
IGHV2-26	5	1	0.0021386838130443256	0.21875	3	3	-9.786529019170512e-05	1.0	0.5454545454545454	0.09307359307359307	0.33333333333333337	0.8333333333333334	0.5	good_coherent_bad_mixed
IGHV4-30-4	1	5	-0.0006890246685341158	0.21875	3	3	-0.00022102218689320932	1.0	0.5454545454545454	0.8181818181818182	0.33333333333333337	0.8333333333333334	0.5	good_coherent_bad_mixed
IGHV6-1	0	6	-0.0025278896156765425	0.03125	4	2	0.0004431482992739294	0.6875	0.060606060606060615	0.06493506493506493	0.33333333333333337	1.0	0.6666666666666666	good_coherent_bad_mixed
IGHV3-48	1	5	-0.007215800554402532	0.21875	2	4	-0.010335499910582278	0.6875	1.0	0.9372294372294373	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-49	5	1	0.0049005257944133435	0.21875	4	2	0.0026781429275710084	0.6875	1.0	1.0	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-9	1	5	-0.0008261753666642202	0.21875	2	4	-0.005356389449281936	0.6875	1.0	0.48484848484848486	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-69-1	5	1	0.002626668548201952	0.21875	4	2	0.0010121063232955032	0.6875	1.0	0.24025974025974026	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-53	5	1	0.0003019728200155474	0.21875	2	4	-0.0021125805831653764	0.6875	0.24242424242424246	0.3939393939393939	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV5-51	5	1	0.006002877045200385	0.21875	2	4	-0.0012635432721517532	0.6875	0.24242424242424246	0.8181818181818182	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV4-59	5	1	0.014488730829873214	0.21875	4	2	0.00746858100564278	0.6875	1.0	0.24025974025974026	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-74	1	5	-0.0042668223668378205	0.21875	2	4	-0.00399591903197765	0.6875	1.0	0.8181818181818182	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-13	5	1	0.0017177094122558128	0.21875	4	2	0.0009970237193446074	0.6875	1.0	0.30952380952380953	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-15	2	4	-0.003654823928609916	0.6875	3	3	0.0014903275682673772	1.0	1.0	0.5887445887445888	0.16666666666666663	0.6666666666666666	0.5	both_mixed
IGHV1-3	4	2	0.005745328585212615	0.6875	3	3	0.0009451289841193401	1.0	1.0	0.17965367965367965	0.16666666666666663	0.6666666666666666	0.5	both_mixed
IGHV3-62	2	4	-0.0018737129288887262	0.6875	3	3	-1.1398685173869601e-05	1.0	1.0	0.24025974025974026	0.16666666666666663	0.6666666666666666	0.5	both_mixed
IGHV4-61	4	2	0.005162746192357183	0.6875	3	3	-9.184554129977834e-05	1.0	1.0	0.24025974025974026	0.16666666666666663	0.6666666666666666	0.5	both_mixed
IGHV3-20	4	2	0.0003611770271734064	0.6875	3	3	-0.0004745147711304508	1.0	1.0	1.0	0.16666666666666663	0.6666666666666666	0.5	both_mixed
IGHV1-24	4	2	0.0011039766252491211	0.6875	3	3	-0.00045641433600831344	1.0	1.0	0.30952380952380953	0.16666666666666663	0.6666666666666666	0.5	both_mixed
IGHV1-46	4	1	0.002218215712321843	0.375	2	4	-0.0011777704134901933	0.6875	0.24242424242424238	0.13203463203463203	0.13333333333333341	0.8	0.6666666666666666	good_coherent_bad_mixed
IGHV1-18	1	4	-0.00511562502042032	0.375	2	4	-0.006878803229045615	0.6875	1.0	0.8181818181818182	0.13333333333333341	0.8	0.6666666666666666	good_coherent_bad_mixed
IGHV4-30-2	2	3	-2.1456109584967883e-05	1.0	3	3	0.00012216188257168368	1.0	1.0	0.6991341991341992	0.09999999999999998	0.6	0.5	both_mixed
IGHV4-31	2	4	-0.001248738249866229	0.6875	3	2	0.0027149321266968325	1.0	0.5670995670995672	0.32900432900432897	0.06666666666666665	0.6666666666666666	0.6	both_mixed
IGHV3-73	2	4	-0.0007014821455915109	0.6875	2	4	-0.0004129575327888185	0.6875	1.0	0.5887445887445888	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV3-35	2	4	-0.0014020954967981598	0.6875	2	4	-0.0005936563982729803	0.6875	1.0	0.48484848484848486	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV4-39	2	4	-0.0034644289361615115	0.6875	4	2	0.008686821966780518	0.6875	0.567099567099567	0.13203463203463203	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV4-28	2	4	-0.0004592831855208076	0.6875	2	4	-0.0005664332741415591	0.6875	1.0	0.9372294372294373	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV3-72	2	4	-0.0022562761049063516	0.6875	2	4	-0.000254947535653376	0.6875	1.0	0.6991341991341992	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV1-58	4	1	0.001302198087726629	0.375	1	4	-0.0011234299212531155	0.375	0.2063492063492064	0.15079365079365079	0.0	0.8	0.8	both_coherent_opposite
IGHV1-69	2	4	-0.0069532232302222195	0.6875	4	2	0.0020562311744404625	0.6875	0.567099567099567	1.0	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV3-23	2	4	-0.003023394657753642	0.6875	2	4	-0.005549714958964343	0.6875	1.0	0.9372294372294373	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV1-2	5	1	0.001185175520798345	0.21875	5	1	0.008282694959193551	0.21875	1.0	0.3939393939393939	0.0	0.8333333333333334	0.8333333333333334	both_coherent_same
IGHV3-64	4	2	0.0020941342053492715	0.6875	2	4	-0.001519697591919713	0.6875	0.567099567099567	0.6991341991341992	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV3-64D	2	3	-0.000805244029885667	1.0	2	3	-0.00024156437005070307	1.0	1.0	1.0	0.0	0.6	0.6	both_mixed
IGHV3-7	4	2	0.005854436922294232	0.6875	4	2	0.005250900198523338	0.6875	1.0	0.5887445887445888	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV3-33	3	3	0.00014761358730672539	1.0	3	3	-0.0006143508815118345	1.0	1.0	0.6991341991341992	0.0	0.5	0.5	both_mixed
IGHV5-10-1	2	4	-0.002156683686226457	0.6875	4	2	0.0005867794305868725	0.6875	0.567099567099567	0.24025974025974026	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV4-4	2	4	-0.006455276497881046	0.6875	4	2	0.0012985073432737102	0.6875	0.567099567099567	0.13203463203463203	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV4-34	4	2	0.007276672086451563	0.6875	2	4	-0.00995014296264275	0.6875	0.567099567099567	0.3939393939393939	0.0	0.6666666666666666	0.6666666666666666	both_mixed
IGHV4-38-2	3	3	0.00034412078049629716	1.0	2	3	-0.0003505082369435682	1.0	1.0	0.5367965367965368	-0.09999999999999998	0.5	0.6	both_mixed
IGHV5-78	4	2	0.0006215402460162524	0.6875	1	4	-0.0005488137101219309	0.375	0.24242424242424246	0.7922077922077921	-0.13333333333333341	0.6666666666666666	0.8	bad_coherent_good_mixed
IGHV2-70	3	3	-3.216359697112269e-05	1.0	2	4	-0.003359899917068433	0.6875	1.0	0.3939393939393939	-0.16666666666666663	0.5	0.6666666666666666	both_mixed
IGHV3-30	3	3	0.00025778236489853307	1.0	2	4	-0.002682036139235542	0.6875	1.0	0.3939393939393939	-0.16666666666666663	0.5	0.6666666666666666	both_mixed
IGHV3-21	3	3	-0.0027206227301198108	1.0	2	4	-0.010181279533706584	0.6875	1.0	0.9372294372294373	-0.16666666666666663	0.5	0.6666666666666666	both_mixed
IGHV3-47	3	3	-2.916941045001586e-05	1.0	2	4	-0.0011632175367146055	0.6875	1.0	0.8181818181818182	-0.16666666666666663	0.5	0.6666666666666666	both_mixed
IGHV3-43	3	3	0.00026477964814409973	1.0	2	4	-0.0030921468732760618	0.6875	1.0	0.24025974025974026	-0.16666666666666663	0.5	0.6666666666666666	both_mixed
IGHV1-8	4	2	0.0005642756350804422	0.6875	1	5	-0.0013818938898159756	0.21875	0.24242424242424238	0.06493506493506493	-0.16666666666666674	0.6666666666666666	0.8333333333333334	bad_coherent_good_mixed
IGHV3-11	2	4	-0.0029983114192573285	0.6875	1	5	-0.002835174545369256	0.21875	1.0	0.8181818181818182	-0.16666666666666674	0.6666666666666666	0.8333333333333334	bad_coherent_good_mixed
IGHV2-5	2	4	-0.0009313323005979285	0.6875	5	1	0.005234212484963562	0.21875	0.24242424242424246	0.3939393939393939	-0.16666666666666674	0.6666666666666666	0.8333333333333334	bad_coherent_good_mixed
IGHV3-25	2	3	-0.00044859253024394705	1.0	4	1	0.0004343126672358983	0.375	0.5238095238095238	0.30952380952380953	-0.20000000000000007	0.6	0.8	bad_coherent_good_mixed
IGHV3-30-3	2	3	-6.476547017959626e-06	1.0	5	1	0.0010169162481473621	0.21875	0.24242424242424238	0.32900432900432897	-0.2333333333333334	0.6	0.8333333333333334	bad_coherent_good_mixed
IGHV3-66	2	4	-0.0009594102358413833	0.6875	0	6	-0.005599427605395604	0.03125	0.4545454545454546	0.3939393939393939	-0.33333333333333337	0.6666666666666666	1.0	bad_coherent_good_mixed
