subject_id	y	prob
1	0	0.4987935819479392
2	1	0.6458717581490151
3	1	0.7248308382274897
4	1	0.6686277241772857
5	0	0.5946731490650301
6	1	0.6089847325982147
7	0	0.6399954613693382
8	1	0.4194834909439836
9	1	0.6711883826085855
10	0	0.49472812372821473
11	0	0.6230915065154892
12	0	0.5204377293764886
13	0	0.3430234877956255
14	1	0.6302344207983382
15	0	0.3827981940396085
16	1	0.19997179665971676
17	1	0.30747061377455476
18	0	0.3448281599320903
19	0	0.2785898640626314
20	1	0.5790982518716575
21	0	0.6760142017688205
22	0	0.21323896800953784
23	1	0.3500292621748278
24	1	0.8948980449802456
25	1	0.46687716137982826
26	0	0.8460328404976721
27	1	0.672746262493204
28	1	0.6562518964341407
29	1	0.872996021888287
30	1	0.7138677270489286
31	1	0.6348623374981276
32	0	0.39035744783557386
33	0	0.5581662984967496
34	0	0.31203083879884436
35	0	0.3034757776868224
