subject_id	y	prob
1	0	0.3670831885613772
2	1	0.6653828417259755
3	1	0.8316164624361226
4	1	0.6999057379998662
5	0	0.555466979318748
6	1	0.6277518471275426
7	0	0.5143997617489264
8	1	0.3495333334612933
9	1	0.6269864412277999
10	0	0.5423888324336202
11	0	0.5424600982237838
12	0	0.5299127337757537
13	0	0.36021397550850415
14	1	0.5801549798566543
15	0	0.367251273800068
16	1	0.39697893639971826
17	1	0.2982407520797994
18	0	0.28015386554106103
19	0	0.1381526108516463
20	1	0.5118615326645826
21	0	0.5911348193540791
22	0	0.20704891707875142
23	1	0.4240137936770097
24	1	0.7904736533129867
25	1	0.47500669517502025
26	0	0.7360760653283828
27	1	0.6379192785542467
28	1	0.5366129580250811
29	1	0.5605117520378317
30	1	0.5557309964522016
31	1	0.5325496517398787
32	0	0.8717113597431752
33	0	0.5484004395863226
34	0	0.29920471783466285
35	0	0.23874100355071556
