subject_id	y	prob
1	0	0.4988179437143519
2	1	0.6458851799018234
3	1	0.724820818233154
4	1	0.6686315576928449
5	0	0.5946562324252967
6	1	0.6089816700483732
7	0	0.6399845946665078
8	1	0.41948497174524724
9	1	0.6711858985204368
10	0	0.4947318988000145
11	0	0.6231053325780644
12	0	0.5204393983489932
13	0	0.3430438608226598
14	1	0.6302425379041631
15	0	0.38279276871121476
16	1	0.19991124685976897
17	1	0.30748575828670843
18	0	0.34484647882769837
19	0	0.27859146338185864
20	1	0.5791002639769531
21	0	0.6760072483810916
22	0	0.21323639622603938
23	1	0.34999706175240247
24	1	0.8948589214011146
25	1	0.46686694705230863
26	0	0.8460388908993182
27	1	0.6727532458337071
28	1	0.6562289620849245
29	1	0.8729976934557886
30	1	0.7138644190188269
31	1	0.634869103030106
32	0	0.39031821799409994
33	0	0.5581651486850532
34	0	0.31204154565424413
35	0	0.3034702469975606
