subject_id	y	prob
1	0	0.49880831748888327
2	1	0.6458691399923325
3	1	0.7248401034466541
4	1	0.6686328379303221
5	0	0.5946480865724063
6	1	0.6089833908514295
7	0	0.6424426546676976
8	1	0.4194799419715451
9	1	0.6085907917767607
10	0	0.4947296935780808
11	0	0.6231147614807795
12	0	0.520439029829769
13	0	0.3430138404837337
14	1	0.5731899813581643
15	0	0.3828034739946184
16	1	0.19989129913271006
17	1	0.3074600100941009
18	0	0.34484412040376394
19	0	0.27859777802836116
20	1	0.5791005613773087
21	0	0.6760136433941575
22	0	0.2132288680886857
23	1	0.3500024495646159
24	1	0.8948913003322154
25	1	0.4668737933335038
26	0	0.8460184684869045
27	1	0.6727445720266355
28	1	0.6562471041039531
29	1	0.7276484988252331
30	1	0.7138829205756809
31	1	0.6348549510083995
32	0	0.8877125124327848
33	0	0.5742471545677337
34	0	0.3120359292163581
35	0	0.3034836722938554
